vocab,kana,English definition
大人,おとな,adult
弁護士,べんごし,lawyer
私,わたくし,I (formal)
カレー,,curry
紅茶,こうちゃ,black tea
着物,きもの,kimono; Japanese traditional dress
セーター,,sweater
楽器,がっき,musical instrument
空手,からて,karate
ゴルフ,,golf
バイク,,motorcycle
象,ぞう,elephant
体,からだ,body
外国語,がいこくご,foreign language
言葉,ことば,language
文法,ぶんぽう,grammar
アプリ,,application
アパート,,apartment; smaller apartment building
マンション,,larger apartment building; condominium
空港,くうこう,airport
店,みせ,shop; store
物価,ぶっか,(consumer) prices
広告,こうこく,advertisement
募集,ぼしゅう,recruitment
約束,やくそく,promise; appointment
うれしい,,glad
悲しい,かなしい,sad
厳しい,きびしい,strict
気分が悪い,きぶんがわるい,to feel sick
辛い,からい,hot and spicy; salty
すごい,,incredible; awesome
近い,ちかい,close; near
いろいろ（な）,,various; different kinds of
幸せ,しあわせ（な）,happy (lasting happiness)
だめ（な）,,no good
編む,あむ,to knit (～を)
頑張る,がんばる,to do one's best; to try hard
泣く,なく,to cry
磨く,みがく,to brush (teeth); to polish (～を)
約束を守る,やくそくをまもる,to keep a promise
感動する,かんどうする,to be moved/touched (by...) (～に)
～回,～かい,...times
～キロ,,...kilometers; ...kilograms
全部,ぜんぶ,all
～と申します,～ともうします,my name is...
特に,とくに,especially
一日,いちにち,one day
二日,ふつか,two days
三日,みっか,three days
四日,よっか,four days
五日,いつか,five days
六日,むいか,six days
七日,なのか,seven days
八日,ようか,eight days
九日,ここのか,nine days
十日,とおか,ten days
