vocab,kana,English definition
駅員（さん）,えきいん（さん）,station attendant
親,おや,parent
親せき,しんせき,relatives
ごみ,,garbage
砂糖,さとう,sugar
ファイル,,file folder; portfolio; file
大きさ,おおきさ,size
道,みち,way; road; directions
期末試験,きまつしけん,final examination
研究,けんきゅう,research
大学院,だいがくいん,graduate school
奨学金,しょうがくきん,scholarship
推薦状,すいせんじょう,letter of recommendation
台風,たいふう,typhoon
文化,ぶんか,culture
返事,へんじ,reply
日,ひ,day
汚い,きたない,dirty
起こす,おこす,to wake (someone) up (～を)
おごる,,to treat (someone) to a meal (person に meal を)
笑う,わらう,to laugh
落ち込む,おちこむ,to get depressed
困る,こまる,to have difficulty
出す,だす,to take (something) out; to hand in (something) (～を)
直す,なおす,to correct; to fix (～を)
見つかる,みつかる,to be found (～が)
訳す,やくす,to translate (source を target に)
貸す,かす,to lend (person に thing を)
連れていく,つれていく,to take (someone) to (a place) (person を place に)
道に迷う,みちにまよう,to become lost; to lose one's way
迎えに行く,むかえにいく,to go to pick up (place まで/に person を)
集める,あつめる,to collect (～を)
入れる,いれる,to put (something) in (thing を place に)
見せる,みせる,to show (person に thing を)
乗り遅れる,のりおくれる,"to miss (a train, bus, etc.) (～に)"
アイロンをかける,,to iron (clothes) (～に)
朝寝坊する,あさねぼうする,to oversleep
案内する,あんないする,to show (someone) around (place を)
説明する,せつめいする,to explain
迎えに来る,むかえにくる,to come to pick up (place まで/に person を)
今日中に,きょうじゅうに,by the end of today
授業中に,じゅぎょうちゅうに,in class; during the class
この間,このあいだ,the other day
これから,,from now on
このぐらい,,about this much （＝これぐらい/このくらい/これくらい）
自分で,じぶんで,(do something) by oneself
他の,ほかの,other
ええと,,well...; let me see...
実は,じつは,actually; in fact
～以外,～いがい,other than...
ごめん,,I'm sorry. (casual)
失礼します,しつれいします,Excuse me.; Sorry to interrupt you.
