vocab,kana,English definition
靴下,くつした,socks
袋,ふくろ,sack; plastic/paper bag
ただ,,free of charge
夕食,ゆうしょく,dinner
場所,ばしょ,place
階段,かいだん,stairs
小学校,しょうがっこう,elementary school
面接,めんせつ,interview
健康,けんこう,health
理想,りそう,ideal
留守番,るすばん,looking after a house during someone's absence
メッセージ,,message; text
休講,きゅうこう,class cancellation
海外旅行,かいがいりょこう,trip to a foreign country
盆踊り,ぼんおどり,Bon dance (traditional Japanese dance)
思い出,おもいで,memory
社会,しゃかい,society
調査,ちょうさ,survey
まずい,,(food is) terrible
かわいそう（な）,,pitiful; feel sorry for; poor thing
雨がやむ,あめがやむ,the rain stops
違う,ちがう,to be different; to be wrong (～と)
なくなる,,to be lost; to disappear (～が)
いなくなる,,(someone) is gone; to disappear (～が)
お世話になる,おせわになる,to be in someone's care (～に)
おなかをこわす,,to have a stomachache
気に入る,きにいる,to find something agreeable (～が／を)
悪口を言う,わるぐちをいう,to talk behind someone's back
答える,こたえる,to answer (～に)
離れる,はなれる,(something/someone) separates; parts from (～と)
がっかりする,,to be disappointed (～に)
我慢する,がまんする,to be tolerant/patient (～を)
同情する,どうじょうする,to sympathize (～に)
～顔をする,～かおをする,to look... (facial expression)
カンニングする,,to cheat in an exam
チェックする,,to check (～を)
世話をする,せわをする,to take care of... (～の)
優勝する,ゆうしょうする,to win a championship
戻ってくる,もどってくる,(something/someone) comes back
そんな～,,such...; that kind of...
～ために,,for...; for the sake of...
ものすごく,,extremely
そろそろ,,it is about time to...
最後に,さいごに,finally; lastly
元気でね,げんきでね,Take care of yourself.
そうそう,,You are right.
