vocab,kana,English definition
ちかん,,groper; pervert
泥棒,どろぼう,thief; burglar
犯人,はんにん,criminal
同僚,どうりょう,colleague
会議,かいぎ,business meeting; conference
スピーチ,,speech
蚊,か,mosquito
ガソリン,,gasoline
ポスター,,poster
文句,もんく,complaint
留守,るす,absence; not at home
警察,けいさつ,police; police station
政府,せいふ,government
環境,かんきょう,environment
終電,しゅうでん,last train
事,こと,things; matters
昔,むかし,old days; past
遠い,とおい,far (away)
ひどい,,awful
安全,あんぜん（な）,safe
めちゃくちゃ（な）,,messy; disorganized
変,へん（な）,strange; unusual
置く,おく,to put; to lay; to place (place に object を)
包む,つつむ,to wrap; to cover (～を)
貼る,はる,to post; to stick (place に object を)
焼く,やく,to bake; to burn; to grill (～を)
やる,,"to give (to pets, plants, younger siblings, etc.) (～を)"
ける,,to kick (～を)
殴る,なぐる,to strike; to hit; to punch (～を)
踏む,ふむ,to step on (～を)
刺す,さす,to bite (～を)
捕まる,つかまる,to be arrested; to be caught (～が)
気が付く,きがつく,to notice (～に)
ふる,,to turn down (somebody); to reject; to jilt (～を)
文句を言う,もんくをいう,to complain
いじめる,,to bully (～を)
ほめる,,to praise; to say nice things (～を)
着替える,きがえる,to change clothes
信じる,しんじる,to believe (～を)
ためる,,to save money (～を)
間違える,まちがえる,to make a mistake (～を)
見つける,みつける,to find (～を)
比べる,くらべる,to compare (X と Y を)
ばかにする,,to insult; to make a fool of... (～を)
びっくりする,,to be surprised (～に)
昼寝をする,ひるねをする,to take a nap
連絡する,れんらくする,to contact (person に)
午前中,ごぜんちゅう,in the morning
ころ,,time of...; when...
少し,すこし,a little
とにかく,,anyhow; anyway
