vocab,kana,English definition
赤ちゃん,あかちゃん,baby
お客さん,おきゃくさん,guest; visitor; client; customer
首相,しゅしょう,prime minister
サラリーマン,,salaryman; office worker
給料,きゅうりょう,salaryman
残業,ざんぎょう,overtime work
パンダ,,panda
コンタクト（レンズ）,,contact lenses
ひげ,,beard
ブーツ,,boots
鍵,かぎ,lock; key
宝くじ,たからくじ,lottery
紙,かみ,paper
スプーン,,spoon
お湯,おゆ,hot water
電子レンジ,でんしレンジ,microwave oven
ヒーター,,heater
ニュース,,news
火事,かじ,fire
旅行会社,りょこうがいしゃ,travel agency
ショッピングモール,,shopping mall
寮,りょう,dormitory
違い,ちがい,difference
秘密,ひみつ,secret
準備,じゅんび,preparation
自分,じぶん,oneself
危ない,あぶない,dangerous
うらやましい,,envious; jealous
少ない,すくない,a little; a few
都合が悪い,つごうがわるい,inconvenient; to have a scheduling conflict
強い,つよい,strong
最悪,さいあく（な）,the worst
選ぶ,えらぶ,to choose; to select (～を)
お湯を沸かす,おゆをわかす,to boil water
髪をとかす,かみをとかす,to comb one's hair
ひげをそる,,to shave one's beard
脱ぐ,ぬぐ,to take off (clothes)
混む,こむ,to get crowded (～が) (～を)
宝くじに当たる,たからくじにあたる,to win a lottery
いれる,,to make tea, coffee, etc. (～を)
生まれる,うまれる,to be born (～が)
鍵をかける,かぎをかける,to lock (～に)
足りる,たりる,to be sufficient; to be enough (～が)
慣れる,なれる,to get used to... (～に)
お祈りする,おいのりする,to pray (～に)
化粧する,けしょうする,to put makeup on
就職する,しゅうしょくする,to get a full-time job (at...)（company に）
離婚する,りこんする,to get a divorce（person と）
する,,to wear small items (necktie, watch, etc.)（～を）
ずいぶん,,very
例えば,たとえば,for example
～に比べて,～にくらべて,compared with...
～によると,,according to...
前,まえ,before...
やっばり,,after all
～かな（あ）,,I wonder...(casual)
そうか,,I see. (casual)
おめでとう,,Congratualations!
