vocab,kana,English definition
奥様,おくさま,(your/someone's) wife (polite)
お子さん,おこさん,(your/someone's) child (polite)
中学生,ちゅうがくせい,junior high school student
出張,しゅっちょう,business trip
部長,ぶちょう,department manager
敬語,けいご,honorific language
こちら,,this way (polite)
どちら,,where (polite)
お礼,おれい,expression of gratitude
種類,しゅるい,a kind; a sort
話,はなし,talk; story
悩み,なやみ,worry
間違い,まちがい,mistake
性格,せいかく,personality
怠け者,なまけもの,lazy person
恥ずかしがり屋,はずかしがりや,shy person
仲がいい,なかがいい,be on good terms; to get along well
まじめ（な）,,serious; sober; diligent
いらっしゃる,,"honorific expression for いく, くる, and いる"
召し上がる,めしあがる,honorific expression for たべる and のむ
下さる,くださる,honorific expression for くれる
なさる,,honorific expression for する
お休みになる,おやすみになる,honorific expression for ねる
ご覧になる,ごらんになる,honorific expression for みる
おっしゃる,,honorific expression for いう
～ていらっしゃる,,honorific expression for ～ている
送る,おくる,to walk/drive (someone) (person を place まで)
怒る,おこる,to get angry
決まる,きまる,to be decided (～が)
知り合う,しりあう,to get acquainted with (～と)
引っ越す,ひっこす,to move (to another place to live) (～に)
呼ぶ,よぶ,to call (one's name) (～を); to invite (person を event に)
遅れる,おくれる,to become late (～に)
かける,,to sit down (seat に)
もてる,,to be popular (in terms of romantic interest) (people に)
晴れる,はれる,to become sunny
遠慮する,えんりょする,to hold back for the time being; to refrain from
招待する,しょうたいする,to invite someone (to an event/a place) (person を event/place に)
話をする,はなしをする,to have a talk
おととい,,the day before yesterday
毎朝,まいあさ,every morning
それで,,then; therefore
なぜ,,why (=どうして)
本当は,ほんとうは,in fact; originally
まだ,,still
少々,しょうしょう,a few seconds
～名様,～めいさま,party of...people
ようこそ,,Welcome.
よろしくお伝えください,よろしくおつたえください,Please give my best regards (to...) (～に)
