vocab,kana,English definition
風,かぜ,wind
木,き,tree
ボール,,ball
猿,さる,monkey
免許,めんきょ,license
予習,よしゅう,preparation of a lesson
復習,ふくしゅう,review of a lesson
塾,じゅく,cram school
英会話,えいかいわ,English conversation
相手,あいて,partner
お嬢さん,おじょうさん,(someone's) daughter (polite)
神様,かみさま,God
先輩,せんぱい,senior member of a group
後輩,こうはい,junior member of a group
部下,ぶか,subordinate
受付,うけつけ,reception desk
書類,しょるい,document
プロジェクト,,project
家事,かじ,housework
ヨーロッパ,,Europe
一人暮らし,ひとりぐらし,living alone
自由,じゆう,freedom
無駄遣い,むだづかい,waste (money)
うるさい,,noisy; annoying
心配,しんぱい（な）,worried about (～が)
貧乏,びんぼう（な）,poor
ぺらぺら（な）,,fluent (language ～が)
楽,らく（な）,easy; comfortable
風が吹く,かぜがふく,the wind blows
コピーを取る,コピーをとる,to make a photocopy
運ぶ,はこぶ,to carry (～を)
拾う,ひろう,to pick up (something) (～を)
放っておく,ほうっておく,to leave (someone/something) alone; to neglect (～を)
間に合う,まにあう,to be in time (～に)
勝つ,かつ,to win (～に)
受ける,うける,to take (an examination) (～を)
計画を立てる,けいかくをたてる,to make a plan
育てる,そだてる,to raise; to bring up (～を)
助ける,たすける,to help; to rescue (～を)
負ける,まける,to lose (a match) (～に)
お願いする,おねがいする,to request help (person に～を)
賛成する,さんせいする,to agree (～に)
反対する,はんたいする,to oppose; to object to (～に)
失敗する,しっぱいする,to fail; to be unsuccessful
徹夜する,てつやする,to stay up all night
翻訳する,ほんやくする,to translate (source と target に)
こんなふう,,like this
自由に,じゆうに,freely
ずっと,,for a long time; all the time
絶対に,ぜったいに,definitely
何度も,なんども,many times
もう少し,もうすこし,a little more
～とか,,...for example
そんなこと（は）ない,,I don't think so.
～ちゃん,,[suffix for names of children]
多くの～,おおくの～,many...
