vocab,kana,English definition
外国人,がいこくじん,foreigner
そば,,soba; Japanese buckwheat noodles
絵,え,painting; picture; drawing
地図,ちず,map
辞書,じしょ,dictionary
家具,かぐ,furniture
電池,でんち,battery
ジャケット,,jacket
ペット,,pet
割引券,わりびきけん,discount coupon
インターネット,,internet
地震,じしん,earthquake
保険,ほけん,insurance
税金,ぜいきん,tax
教室,きょうしつ,classroom
建物,たてもの,building
プール,,swimming pool
映画館,えいがかん,movie theater
旅館,りょかん,Japanese inn
庭,にわ,garden
ボランティア,,volunteer
活動,かつどう,activity
経験,けいけん,experience
習慣,しゅうかん,custom
締め切り,しめきり,deadline
予定,よてい,schedule; plan
卒業式,そつぎょうしき,graduation ceremony
結婚式,けっこんしき,wedding
売る,うる,to sell (～を)
下ろす,おろす,to withdraw (money) (～を)
描く,かく,to draw; to paint (～を)
探す,さがす,to look for (～を)
誘う,さそう,to invite (～を)
しゃべる,,to chat
付き合う,つきあう,to date (someone) (person と); to keep company (purpose に)
着く,つく,to arrive (place に)
保険に入る,ほけんにはいる,to buy insurance
気をつける,きをつける,to be cautious/careful (～に)
調べる,しらべる,to look into (a matter) (matter を)
見える,みえる,to be visible (～が)
する,,to decide on (an item) (item に)
観光する,かんこうする,to do sightseeing
予約する,よやくする,to reserve (～を)
参加する,さんかする,to participate (～に)
卒業する,そつぎょうする,to graduate (from...) (school を)
発表する,はっぴょうする,to make a presentation; to make public
～けど,,"...,but; ...,so"
～目,～め,-th
一日目,いちにちめ,first day
一日中,いちにちじゅう,all day long
最近,さいきん,recently
もう一度,もういちど,one more time
楽しみです,たのしみです,cannot wait; to look forward to it
